order_id,order_date,customer_name,city,state,category,product,quantity,sales,discount
ORD01861,2025-04-17,Pooja Singh,Lucknow,Uttar Pradesh,Stationery,File Folder,3,41220.29,0.0
ORD00354,2025-12-01,Manish Verma,Bhopal,Madhya Pradesh,Stationery,Calculator,4,74235.74,0.0
ORD01334,2025-05-15,Nikhil Singh,Delhi,Delhi,Stationery,Calculator,2,8253.98,0.1
ORD00906,2025-09-16,Manish Gupta,Kolkata,West Bengal,Furniture,Bookshelf,2,48952.38,0.1
ORD01290,2025-01-13,Kavita Das,Chennai,Tamil Nadu,Stationery,Calculator,2,37787.74,0.05
ORD01274,2025-05-31,Pooja Singh,Mumbai,Maharashtra,Electronics,Laptop,6,27224.18,0.05
ORD00939,2025-12-18,Neha Das,Patna,Bihar,Stationery,Pen Set,6,73086.34,0.15
ORD01732,2025-09-17,Sneha Gupta,Mumbai,Maharashtra,Clothing,T-Shirt,2,14436.78,0.1
ORD00066,2025-05-01,Rohit Patel,Hyderabad,Telangana,Furniture,Bookshelf,8,37100.89,0.1
ORD01324,2025-08-01,Amit Kumar,Hyderabad,Telangana,Clothing,Jacket,7,50579.24,0.0
ORD00057,2025-12-02,Anjali Yadav,Bengaluru,Karnataka,Clothing,Jeans,7,58985.47,0.2
ORD01293,2025-01-21,Nikhil Das,Jaipur,Rajasthan,Furniture,Bookshelf,5,27183.65,0.15
ORD01119,2025-04-29,Neha Sharma,Ahmedabad,Gujarat,Furniture,Table,7,70434.51,0.0
ORD00585,2025-07-16,Nikhil Das,Delhi,Delhi,Clothing,Jeans,6,6232.97,0.0
ORD00375,2025-11-08,Rohit Kumar,Pune,Maharashtra,Clothing,T-Shirt,4,41616.4,0.2
ORD00276,2025-04-22,Kavita Sharma,Bhopal,Madhya Pradesh,Electronics,Keyboard,5,61279.88,0.25
ORD00747,2025-11-14,Neha Singh,Bengaluru,Karnataka,Grocery,Tea,7,44392.56,0.05
ORD00129,2025-12-20,Rohit Yadav,Delhi,Delhi,Stationery,Marker,10,22611.78,0.15
ORD01647,2025-06-08,Arjun Yadav,Lucknow,Uttar Pradesh,Furniture,Bookshelf,5,50918.73,0.2
ORD01853,2025-10-12,Priya Yadav,Delhi,Delhi,Clothing,Shoes,3,33639.71,0.15
ORD00675,2025-12-02,Amit Gupta,Kolkata,West Bengal,Clothing,Jacket,4,24225.19,0.2
ORD01665,2025-03-13,Rahul Das,Pune,Maharashtra,Clothing,Jacket,10,56136.86,0.1
ORD01982,2025-03-10,Neha Das,Bengaluru,Karnataka,Stationery,Pen Set,1,3540.0,0.0
ORD01084,2025-07-03,Nikhil Sharma,Patna,Bihar,Furniture,Sofa,4,20105.46,0.0
ORD01923,2025-06-14,Manish Das,Pune,Maharashtra,Clothing,Shoes,1,56489.73,0.0
ORD00100,2025-04-29,Rohit Gupta,Patna,Bihar,Stationery,File Folder,10,35375.96,0.0
ORD01180,2025-05-30,Nikhil Singh,Jaipur,Rajasthan,Furniture,Table,3,33280.81,0.15
ORD00965,2025-09-15,Amit Sharma,Hyderabad,Telangana,Grocery,Biscuits,6,19300.8,0.0
ORD00793,2025-02-16,Anjali Patel,Chennai,Tamil Nadu,Clothing,Shoes,1,47512.37,0.25
ORD00030,2025-01-31,Priya Das,Mumbai,Maharashtra,Stationery,File Folder,8,16227.61,0.15
ORD00629,2025-11-17,Neha Gupta,Mumbai,Maharashtra,Stationery,File Folder,4,19907.78,0.15
ORD00945,2025-07-04,Nikhil Das,Chennai,Unknown,Electronics,Mobile Phone,8,65408.05,0.1
ORD00573,2025-02-19,Priya Yadav,Pune,Maharashtra,Grocery,Sugar,7,62031.94,0.2
ORD00908,2025-04-06,Kavita Yadav,Hyderabad,Telangana,Grocery,Cooking Oil,1,47181.33,0.2
ORD01081,2025-03-10,MANISH SHARMA,Kolkata,West Bengal,Grocery,Cooking Oil,6,19276.06,0.0
ORD00451,2025-05-18,Nikhil Patel,Patna,Bihar,Stationery,Marker,4,3934.5,0.15
ORD01610,2025-10-20,Rohit Singh,Ahmedabad,Gujarat,Electronics,Laptop,7,16568.33,0.0
ORD01291,2025-08-26,Rahul Sharma,Jaipur,Rajasthan,Grocery,Rice,5,12301.42,0.25
ORD01079,2025-10-26,Arjun Kumar,Bhopal,Madhya Pradesh,Stationery,File Folder,5,43693.7,0.25
ORD00255,2025-05-29,Amit Gupta,Ahmedabad,Gujarat,Grocery,Tea,7,61423.72,0.05
ORD00125,2025-05-31,Anjali Patel,Jaipur,Rajasthan,Furniture,Bookshelf,1,3687.82,0.0
ORD01928,2025-10-29,Sneha Singh,Bengaluru,Karnataka,Stationery,Calculator,8,29110.52,0.25
ORD00252,2025-12-13,Manish Gupta,Chennai,Tamil Nadu,Furniture,Unknown,9,25838.94,0.1
ORD00586,2025-11-24,Pooja Yadav,Ahmedabad,Gujarat,Grocery,Biscuits,10,4545.36,0.05
ORD01569,2025-05-10,Sneha Patel,Ahmedabad,Gujarat,Grocery,Tea,7,35649.51,0.05
ORD00825,2025-01-09,Pooja Gupta,Pune,Maharashtra,Furniture,Bookshelf,5,18119.91,0.0
ORD00508,2025-01-02,Anjali Patel,Bhopal,Madhya Pradesh,Stationery,Notebook,2,57009.17,0.05
ORD00890,2025-04-02,Vikas Patel,Patna,Bihar,Electronics,Laptop,2,37485.58,0.0
ORD00071,2025-03-26,Riya Yadav,Jaipur,Rajasthan,Electronics,Keyboard,6,50248.3,0.15
ORD01609,2025-10-03,Priya Das,Patna,Bihar,Clothing,Kurta,8,74228.6,0.15
ORD01533,2025-06-09,Sneha Verma,Mumbai,Maharashtra,Furniture,Sofa,2,74499.95,0.0
ORD00248,2025-11-14,Manish Das,Bhopal,Madhya Pradesh,Electronics,Monitor,8,12995.78,0.25
ORD01451,2025-12-04,Vikas Kumar,Kolkata,West Bengal,Stationery,Notebook,4,15628.33,0.05
ORD00213,2025-06-29,Pooja Kumar,Bengaluru,Karnataka,Stationery,Calculator,7,37100.89,0.15
ORD00910,2025-12-17,Manish Gupta,Lucknow,Uttar Pradesh,Furniture,Bookshelf,8,11293.84,0.05
ORD01742,2025-12-26,Arjun Verma,Lucknow,Uttar Pradesh,Clothing,T-Shirt,10,17279.88,0.1
ORD01245,2025-12-23,Amit Yadav,Pune,Maharashtra,Furniture,Office Chair,3,42999.37,0.2
ORD01697,2025-01-18,Riya Verma,Hyderabad,Telangana,Electronics,Mobile Phone,3,1320.55,0.25
ORD01183,2025-07-26,Neha Kumar,Lucknow,Uttar Pradesh,Clothing,Kurta,7,72737.09,0.25
ORD00362,2025-02-17,Sneha Yadav,Bhopal,Madhya Pradesh,Clothing,Shoes,8,24714.87,0.0
ORD01474,2025-09-05,Kavita Verma,Chennai,Tamil Nadu,Grocery,Sugar,2,68619.0,0.25
ORD00679,2025-10-08,Pooja Singh,Bhopal,Madhya Pradesh,Grocery,Cooking Oil,4,41095.21,0.1
ORD01622,2025-03-03,Sneha Kumar,Kolkata,West Bengal,Electronics,Keyboard,5,66280.94,0.2
ORD01090,2025-06-24,Manish Sharma,Lucknow,Uttar Pradesh,Grocery,Sugar,8,54257.65,0.15
ORD01988,2025-09-13,Sneha Das,Kolkata,West Bengal,Stationery,Marker,6,70510.52,0.1
ORD01848,2025-08-31,Neha Verma,Kolkata,West Bengal,Furniture,Bookshelf,3,27442.74,0.0
ORD00988,2025-02-24,Manish Sharma,Bhopal,Madhya Pradesh,Electronics,Keyboard,8,72207.87,0.0
ORD01513,2025-03-22,Rohit Gupta,Lucknow,Uttar Pradesh,Electronics,Monitor,7,59402.92,0.0
ORD00112,2025-05-03,Sneha Singh,Jaipur,Rajasthan,Stationery,Notebook,1,72992.72,0.2
ORD01488,2025-02-20,Anjali Gupta,Kolkata,West Bengal,Grocery,Biscuits,10,65998.88,0.1
ORD01454,2025-12-14,Rohit Yadav,Bhopal,Madhya Pradesh,Electronics,Laptop,9,29261.26,0.25
ORD00384,2025-01-06,Priya Yadav,Bengaluru,Karnataka,Furniture,Office Chair,1,53165.57,0.25
ORD01396,2025-05-14,nikhil gupta,Chennai,Tamil Nadu,Furniture,Sofa,7,30083.74,0.0
ORD01055,2025-02-03,Rahul Kumar,Patna,Bihar,Stationery,Notebook,5,45902.71,0.15
ORD00756,2025-12-27,Suresh Patel,Bengaluru,Karnataka,Electronics,Headphones,9,72600.49,0.0
ORD00325,2025-08-23,Rahul Singh,Chennai,Tamil Nadu,Clothing,Jeans,8,44637.03,0.05
ORD01624,2025-03-16,Riya Gupta,Bhopal,Madhya Pradesh,Grocery,Tea,7,37100.89,0.0
ORD00788,2025-04-22,Kavita Sharma,Hyderabad,Telangana,Stationery,Notebook,3,40662.25,0.15
ORD00369,2025-12-15,Pooja Kumar,Pune,Maharashtra,Stationery,Notebook,3,44627.54,0.2
ORD01820,2025-02-06,Priya Yadav,Delhi,Delhi,Electronics,Laptop,6,65294.43,0.2
ORD00070,2025-04-23,Rohit Das,Kolkata,West Bengal,Grocery,Sugar,10,67361.4,0.15
ORD00858,2025-08-26,Neha Kumar,Patna,Bihar,Clothing,Kurta,5,37184.01,0.25
ORD01484,2025-07-14,Anjali Yadav,Patna,Bihar,Grocery,Sugar,6,50624.56,0.15
ORD01556,2025-06-24,Pooja Sharma,Mumbai,Maharashtra,Electronics,Headphones,5,42151.81,0.0
ORD01692,2025-11-11,Arjun Sharma,Jaipur,Rajasthan,Clothing,Jeans,6,49313.98,0.1
ORD01475,2025-10-03,Neha Das,Jaipur,Rajasthan,Stationery,Pen Set,10,62129.63,0.05
ORD01799,2025-12-15,Kavita Singh,Patna,Bihar,Furniture,Sofa,10,50107.77,0.1
ORD00479,2025-04-26,Sneha Patel,Lucknow,Uttar Pradesh,Furniture,Office Chair,1,47094.85,0.05
ORD00282,2025-02-27,Amit Das,Chennai,Tamil Nadu,Furniture,Bookshelf,4,70321.42,0.25
ORD01648,2025-08-29,Pooja Singh,Delhi,Delhi,Furniture,Sofa,1,24110.76,0.2
ORD01557,2025-02-14,Priya Patel,Ahmedabad,Gujarat,Stationery,Notebook,2,68871.33,0.05
ORD01730,2025-04-06,Manish Das,Delhi,Delhi,Electronics,Keyboard,6,46729.53,0.25
ORD00211,2025-08-06,Rahul Das,Bhopal,Madhya Pradesh,Stationery,Marker,9,20187.37,0.0
ORD00298,2025-06-18,Neha Das,Lucknow,Uttar Pradesh,Grocery,Sugar,7,22315.62,0.05
ORD01885,2025-11-03,Anjali Yadav,Lucknow,Uttar Pradesh,Stationery,Pen Set,1,21667.15,0.0
ORD01834,2025-03-13,Manish Patel,Jaipur,Rajasthan,Furniture,Desk,7,31614.89,0.0
ORD00652,2025-05-12,Amit Patel,Ahmedabad,Gujarat,Stationery,File Folder,9,46891.79,0.2
ORD01234,2025-06-14,Neha Gupta,Chennai,Tamil Nadu,Electronics,Mobile Phone,1,290.06,0.25
ORD01503,2025-05-07,Arjun Das,Pune,Maharashtra,Electronics,Headphones,7,72709.82,0.1
ORD01932,2025-11-10,Nikhil Singh,Bengaluru,Karnataka,Clothing,Kurta,7,50308.93,0.05
ORD00917,2025-09-26,Rohit Yadav,Ahmedabad,Gujarat,Grocery,Rice,9,49900.23,0.2
ORD00994,2025-09-22,Rahul Sharma,Jaipur,Rajasthan,Grocery,Biscuits,1,33332.76,0.0
ORD00430,2025-10-23,Arjun Verma,Jaipur,Rajasthan,Stationery,Marker,9,28307.23,0.15
ORD01371,2025-01-28,Pooja Gupta,Pune,Maharashtra,Furniture,Sofa,9,32455.92,0.1
ORD00240,2025-10-19,Suresh Verma,Bhopal,Madhya Pradesh,Clothing,Shoes,6,3631.87,0.0
ORD00880,2025-06-10,Rahul Yadav,Kolkata,West Bengal,Stationery,Pen Set,9,17259.68,0.0
ORD00621,2025-05-26,Pooja Singh,Ahmedabad,Gujarat,Furniture,Office Chair,7,23375.46,0.05
ORD00257,2025-10-28,Neha Verma,Lucknow,Uttar Pradesh,Clothing,Kurta,5,10511.15,0.2
ORD00612,2025-06-26,Amit Das,Bengaluru,Karnataka,Clothing,Jacket,9,41922.49,0.1
ORD00545,2025-06-06,Neha Patel,Ahmedabad,Gujarat,Grocery,Tea,9,41177.53,0.0
ORD00772,2025-03-19,Arjun Yadav,Bengaluru,Karnataka,Clothing,T-Shirt,2,45385.66,0.2
ORD01420,2025-12-14,Pooja Patel,Patna,Bihar,Furniture,Desk,2,49978.26,0.15
ORD01042,2025-04-30,Pooja Patel,Pune,Maharashtra,Electronics,Monitor,5,60678.98,0.05
ORD01790,2025-04-25,Priya Gupta,Chennai,Tamil Nadu,Stationery,File Folder,3,34203.18,0.1
ORD00760,2025-03-15,Sneha Yadav,Hyderabad,Telangana,Furniture,Desk,1,5613.01,0.0
ORD00383,2025-03-01,Pooja Kumar,Bengaluru,Karnataka,Stationery,Pen Set,1,18524.86,0.15
ORD01104,2025-08-01,Neha Singh,Bengaluru,Karnataka,Stationery,Marker,5,29484.0,0.1
ORD00974,2025-10-27,Neha Verma,Bhopal,Madhya Pradesh,Stationery,File Folder,8,1717.18,0.15
ORD00353,2025-07-07,Suresh Kumar,Lucknow,Uttar Pradesh,Grocery,Rice,10,8786.95,0.2
ORD01606,2025-06-26,Rahul Verma,Kolkata,West Bengal,Electronics,Monitor,6,47445.96,0.2
ORD01826,2025-04-27,Priya Das,Bhopal,Madhya Pradesh,Electronics,Laptop,4,14231.84,0.1
ORD01037,2025-11-08,Pooja Kumar,Ahmedabad,Gujarat,Clothing,T-Shirt,3,48571.64,0.0
ORD01108,2025-04-17,Suresh Kumar,Delhi,Delhi,Grocery,Biscuits,7,33957.46,0.1
ORD00495,2025-07-17,Sneha Yadav,Mumbai,Maharashtra,Electronics,Keyboard,7,72182.67,0.1
ORD00394,2025-05-06,Priya Kumar,Chennai,Tamil Nadu,Grocery,Tea,4,55001.63,0.2
ORD01547,2025-11-07,Rohit Kumar,Chennai,Tamil Nadu,Electronics,Headphones,5,37833.8,0.0
ORD00465,2025-11-24,Anjali Gupta,Bengaluru,Karnataka,Electronics,Keyboard,2,25387.2,0.1
ORD00887,2025-10-25,Kavita Gupta,Delhi,Delhi,Furniture,Sofa,8,21069.25,0.25
ORD01194,2025-11-07,Suresh Verma,Mumbai,Maharashtra,Grocery,Tea,6,39319.3,0.1
ORD00367,2025-12-07,Nikhil Singh,Mumbai,Maharashtra,Clothing,T-Shirt,6,18966.6,0.1
ORD01894,2025-04-26,Arjun Yadav,Pune,Maharashtra,Grocery,Biscuits,7,37100.89,0.0
ORD01874,2025-03-26,Nikhil Yadav,Bhopal,Madhya Pradesh,Stationery,Marker,8,73821.15,0.2
ORD00745,2025-05-25,Manish Patel,Delhi,Delhi,Stationery,Notebook,6,36029.24,0.05
ORD00530,2025-06-12,Suresh Verma,Jaipur,Rajasthan,Grocery,Sugar,6,5697.84,0.25
ORD00803,2025-01-24,Kavita Singh,Chennai,Tamil Nadu,Electronics,Monitor,9,10515.37,0.05
ORD01224,2025-12-16,Sneha Singh,Jaipur,Rajasthan,Clothing,T-Shirt,7,36807.82,0.15
ORD01979,2025-09-07,Vikas Kumar,Bengaluru,Karnataka,Clothing,T-Shirt,9,44025.18,0.15
ORD01906,2025-12-23,Kavita Das,Lucknow,Uttar Pradesh,Stationery,Notebook,9,13797.19,0.1
ORD01700,2025-05-11,Anjali Yadav,Hyderabad,Telangana,Grocery,Biscuits,6,74752.26,0.05
ORD01545,2025-04-08,Vikas Patel,Chennai,Tamil Nadu,Stationery,Marker,7,16230.05,0.2
ORD01314,2025-04-07,Vikas Singh,Jaipur,Rajasthan,Furniture,Sofa,10,7534.09,0.05
ORD00307,2025-06-03,Arjun Sharma,Kolkata,West Bengal,Stationery,Calculator,4,74269.92,0.05
